Attraction,Event Name,Location (District/Place),Province No.,Venue,Month / Season,Duration,Type,Description / Source
Thulung Dudhkoshi Trek,Thulung Dudhkoshi Cultural Trek Days (proposed / seasonal),Thulung Dudhkoshi region (Solukhumbu/Okhaldhunga border area),1,"Trailheads, village commons",Autumn & Spring trekking seasons,Multi-day (trek window),Trekking / Cultural (proposed),The Thulung Dudhkoshi route is primarily a trekking/cultural route; no single documented festival specific to the whole route — proposed trekking-season events.
Himalayan Hot Springs (general Eastern Nepal),Hot Springs Wellness & Local Festival (proposed),(Taplejung / Sankhuwasabha / Ilam depending on spring),1,Hot springs complex / community area,Winter & post-monsoon (Oct–Mar),1–3 days,Wellness / community event (proposed),Hot springs in eastern Nepal host seasonal visitors and occasional wellness weekends; specific annual events are not widely publicized — proposed.
Makalu Viewpoint,Makalu Trekker Season & Community Day (proposed / trekking window),Makalu region (Sankhuwasabha / Taplejung approaches),1,Viewpoint camps / Tumlingtar approach points,Spring & Autumn,Multi-day (trek windows),Trekking / Community (proposed),Trekking seasons (spring & autumn) are the main “events” for Makalu viewpoint visits; local outreach days sometimes organized by NGOs — proposed.
Sabhapokhari (village / lake area),Sabhapokhari Local Jatra & Lake Day (proposed / community festival),Sabhapokhari area (likely Panchthar / Ilam / local district — depends on exact place),1,Lakeside community grounds,Monsoon to post-monsoon (Jul–Oct),1 day,Local cultural fair (proposed),Many small lakes (pokhari) in the hills host local jatras and community fairs; I could not find a formal publicized annual event for the exact “Sabhapokhari” you mean — proposed.
"Rhododendron Trail (Tinjure, Milke, Jaljale)",TMJ Rhododendron Trekking Festival / Rhododendron Week,Tehrathum / Sankhuwasabha / Taplejung (TMJ ridge),1,Milke Danda / Tinjure ridge / Basantapur,April (spring bloom),1–4 days,Nature / Trekking festival,TMJ is marketed as the Rhododendron Capital — community treks & seasonal celebrations during April; local trekking companies promote rhododendron-season events. (Nepal Holidays)
Local Mountain Viewpoints (Tehrathum / Panchthar),Local Viewpoint Festivals & Peak Season Fairs (proposed),Tehrathum / Panchthar districts,1,Viewpoint parks / community halls,Spring (Mar–May) & Autumn (Sep–Nov),1 day,Local tourism event (proposed),Many small mountain viewpoints run seasonal tourism days & homestay weekend fairs; formal centralised event records are scarce — proposed.
Bantawa Village (cultural village),Bantawa Cultural Day / Rai Heritage Festival (proposed / local),Bantawa area (Sunsari/Dhankuta / specific localities vary),1,Village square / community hall,Autumn (post-harvest),1–2 days,Ethnic / Cultural (proposed),Bantawa is also an ethnic language/cultural identity (Kirant Rai groups) — local heritage days and cultural shows are common; no single national event located for a specific Bantawa village — proposed but culturally grounded.
Seasonal Waterfalls (Ilam / Taplejung),Waterfall Season Picnic & Local Fairs (proposed),Ilam / Taplejung,1,Village picnic grounds / waterfall access,Monsoon → Post-monsoon (Jul–Oct),1 day,Nature / Community,"Local communities organize picnic days, eco-cleanups and small fairs around seasonal waterfalls; good for travelers seeking nature stops."
Himalayan Viewpoint (general),Sunrise Himalayan Viewpoint Festival (proposed),District-specific viewpoint (various),1,Viewpoint park / ridge,"Autumn & Spring (Mar–May, Sep–Nov)",1 day / weekend,Tourism / Nature,"Sunrise-viewing gatherings with local guides, photography contests and cultural performances."
Phakumba,Phakumba Lakeside Day (proposed),(local Phakumba area),1,Phakumba lakeside,Spring / Autumn,1 day,Local cultural / nature event,"Community-led picnic and cultural show centered on the lake — music, boating, local foods."
Biratnagar,Biratnagar Trade & Cultural Mahotsav (proposed / recurring),Biratnagar (Morang),1,Biratnagar exhibition grounds / city parks,Winter / Post-harvest (Dec–Feb),2–4 days,Trade / Cultural,"City fair combining industry stalls, cultural performances and food zones; a typical metropolitan event."
Taplejung (town-level),Taplejung Heritage & Trekker Welcome Week (proposed),Taplejung Bazaar,1,Taplejung town square / community hall,Autumn trekking season (Sep–Nov),2–3 days,Cultural / Tourism,"Local cultural performances, trekking briefings, homestay promotions and market stalls for trekkers."
Ilam (town-level),Ilam Tea & Homestay Trail (verified / recurring),Ilam Bazaar (Ilam District),1,Ilam Bazar & tea garden locations,June (Ilam Tea Festival season) & Spring,2–3 days,Cultural / Trade / Tourism,Satellite homestay and tea-tasting events accompanying the Ilam Tea Festival (verified local festival activities occur in June).
Dhankuta,Dhankuta Hill Cultural Week (proposed),Dhankuta / Hile / Bhedetar,1,Dhankuta community grounds / Hile picnic areas,Spring / Autumn,2–4 days,Culture / Tourism,"Traditional dances, food fairs, rhododendron viewpoint visits and homestay showcases."
Sankhuwasabha,Sankhuwasabha Tourism & Rhododendron Week (proposed),Khandbari & Milke Danda areas,1,Milke Danda / district grounds,April (rhododendron bloom),2–4 days,Nature / Trekking / Cultural,"Trekking festivals, rhododendron walk packages & community events."
Ilaka Bazaar & Homestays (Bhojpur),Bhojpur Homestay & Craft Weekend (proposed),Ilaka Bazaar (Bhojpur),1,Homestay compounds / market square,Spring / Autumn,1–2 days,Homestay / Cultural,"Homestay-hosted cultural evenings, local cuisine tastings, craft stalls."
Khoping Pokhari,Khoping Pokhari Lakeside Jatra (proposed),Khoping Pokhari (local district),1,Lakeside community ground,Local auspicious dates & peak seasons,1 day,Religious / Community,"Small lakeside jatra (festival) with prayer, small market and local dances."
Himalayan Hot Springs (Taplejung / Sankhuwasabha locations),Eastern Hot Springs Wellness Weekend (proposed),Taplejung / Sankhuwasabha hot springs,1,Hot spring complex,Winter & Post-monsoon (Oct–Mar),1–2 days,Wellness / Local tourism,"Wellness weekends combining hot-spring bathing, yoga sessions and local food."
Jhyau Pokhari (duplicate entries combined),Jhyau Pokhari Pilgrimage & Picnic (proposed),(local Jhyau Pokhari site),1,Pokhari/temple open space,Monsoon → Post-monsoon,1 day,Pilgrimage / Community,Local pilgrimage day with communal meal and small cultural programs.
Nundhaki,Nundhaki Highland Fair (proposed),Nundhaki area (local hills),1,Village commons / pasture,Post-harvest / Autumn,1 day,Cultural / Agricultural,"Community fairs showcasing local produce, dances and livestock displays."
Mawadin,Mawadin Community Nature Day (proposed),Mawadin (local village),1,Community ground / forest access,Monsoon & Post-monsoon,1 day,Nature / Community,"Forest walks, medicinal plant talks and local food stalls."
Dudh Koshi River (Solukhumbu),Dudh Kosi River Adventure Week (proposed),Solukhumbu / river access points,1,Riverbanks / trailheads,"Spring & Autumn (Mar–May, Sep–Nov)",3–7 days,Adventure / Eco-Tourism,"Rafting/river-sightseeing packages, conservation talks and local fairs at staging towns."
Namobuddha Monastery ,Namobuddha Buddha Jayanti & Peace Festival (verified / recurring),Namobuddha (Kavrepalanchok),3,Namobuddha Monastery grounds,Buddha Jayanti (May) & major Buddhist dates,1 day (main),Religious / Cultural,Pilgrimages and ceremonies at Namobuddha monastery on Buddha Jayanti and other major Buddhist festivals.
Bantawa Village (Dhankuta),Bantawa Heritage & Rai Culture Day (proposed),Bantawa area (Dhankuta region),1,Village square / community hall,Autumn (post-harvest),1–2 days,Ethnic / Cultural,"Folk music, Bantawa language storytelling and Rai cultural dance shows."
Sherpa Villages (Solukhumbu),Sherpa Cultural Week (proposed / recurring in Everest region),"Khumbu villages (e.g., Namche, Pangboche)",1,Monastery courtyard / community halls,Mani Rimdu / Autumn & Gyalpo Losar windows,2–7 days,Cultural / Religious,"Sherpa cultural shows, monastery rituals and trekking hospitality events timed around major festivals (Mani Rimdu, Losar)."
Limbu Villages (Panchthar–Taplejung),Chasok Tangnam Celebrations (verified / ethnic festival),"Panchthar, Taplejung & Limbu areas",1,Mangkhim / village squares,Nov–Dec (Mangsir),1–3 days,Ethnic / Harvest,"Limbu harvest festival Chasok Tangnam — traditional dances, rituals and communal feasts."
Tempu–Helambu Trek (Sindhupalchok / Solukhumbu border),Helambu Trekker Season & Cultural Host Week (proposed),Helambu villages & trailheads,3 (Sindhupalchok partly Bagmati) / 1 (if Solukhumbu fringes),Village guesthouses & community grounds,Spring & Autumn,Multi-day (trek windows),Trekking / Cultural,"Trekker-focused events, cultural evenings and homestay promotions during trekking seasons."
Dantakali Temple (Sunsari / Dharan) ,Dantakali Temple Ritual Days & Fairs (verified / recurring),Dharan (Sunsari),1,Dantakali Temple precinct,Dashain / Navaratri & monthly auspicious days,Multi-day (festival periods),Religious / Pilgrimage,Temple fairs and special pujas during major Hindu festivals; attracts local pilgrims (already listed earlier).
Hile (Dhankuta) ,Hile Weekend Viewpoint Fair (proposed),"Hile, Dhankuta",1,Hile viewpoint & bazaar,Spring & Peak Weekends,1 day,Tourism / Culture,"Weekend fairs with guided walks, local food & handicrafts."
Ethnic Villages (Sankhuwasabha / Bhojpur),Eastern Ethnic Heritage Festival (proposed),Sankhuwasabha / Bhojpur villages,1,Village commons / district halls,Autumn (Sep–Nov),2–3 days,Ethnic / Cultural,"Multi-ethnic performances showcasing Rai, Limbu, Bantawa and other local groups — dances, songs and craft markets."
Gokyo Lakes,Khumbila Gokyo Cultural Trek Week (proposed),"Gokyo, Solukhumbu",1,Gokyo & nearby villages,Spring & Autumn,5 days,Trekking / Cultural,"Community trekking events, cultural performances with Sherpa village hosts."
Namche Bazaar,Dumji Festival (real),"Namche Bazaar, Solukhumbu",1,Namche Monastery / market square,June–July,~7 days,Cultural / Religious,"Honours Guru Rinpoche, featuring lama dances and Sherpa cultural performances. Nepal Everest Trekking"
Kanyam Tea Garden,Kanyam Sunrise Festival (proposed),"Kanyam, Ilam",1,Tea gardens / hilltop viewpoint,Spring & Early Summer,1–2 days,Tourism / Cultural,"Sunrise viewing, tea tasting, yoga and picnic events attracting tourists from Nepal and India."
Sherpa Villages,Gyalpo Losar & Sherpa Cultural Week (proposed),"Khumbu region, Solukhumbu",1,Monasteries & village squares,"February (Losar), Autumn",5–7 days,Cultural / Religious,"New Year celebration with dances, traditional food, and homestay programmes."
Sangu,Sangu River Sports Carnival (proposed),"Sangu village, Solukhumbu",1,Riverside ground / community hall,Autumn,3 days,Adventure / Cultural,"River rafting, local food fair, and hiking competitions combined with cultural displays."
Dudh Koshi River Rafting,Dudh Koshi River Festival (proposed),"Dudh Koshi, Solukhumbu",1,"River banks, rafting launch points",Spring (Mar–May),3 days,Adventure / Nature,"Raft boating competition, nature walks, and multi-day rafting packages with locals."
Antu Danda,Antu Sunrise & Campfire Festival (real),"Antu, Ilam",1,Antu Danda viewpoint,New Year & Spring,2–3 days,Tourism / Nature,"Sunrise viewing events with campfires, tea sampling, and cultural nights. Rising Nepal"
Maipokhari,Maipokhari Jatra & Pooja (proposed),"Maipokhari, Ilam",1,Maipokhari lake,Maghe Sankranti & Full Moon,1 day,Religious,"Pilgrims visit the sacred pond with puja, prayers and community feasts."
Kanchenjunga Conservation Area,Kanchenjunga Conservation Week (proposed),Taplejung / Sankhuwasabha,1,KCAPS office / basecamp,Spring & Autumn,3–5 days,Environmental,"Conservation workshops, guided treks, clean-up drives, and eco-education meetings."
Sandakpur,Sandakpur Tourism & Nature Week (proposed),"Sandakpur, Ilam",1,Sandakpur viewpoint,Spring & Autumn,2 days,Trekking / Nature,"Peak sunrise watching, short treks, photography workshops, and local food fairs."
"TMJ Ridge (Tinjure, Milke, Jaljale)",TMJ Rhododendron Week (real),Tehrathum / Sankhuwasabha,1,Milke Danda / Basantapur,April (spring),3–4 days,Nature / Cultural,"Rhododendron blooming treks, cultural shows, and eco-workshops."
Halesi Mahadev Temple,Ram Nawami Fair (real),"Halesi, Khotang",1,Halesi Mahadev Temple,April (Ram Nawami),~15 days,Religious / Cultural,Major religious festival with pilgrims from across Nepal and neighboring countries. Khabarhub
Dharan (Budhasubba & Pindeshwor),Budhasubba Mela (proposed),"Dharan, Sunsari",1,Budhasubba Temple,Maghe Sankranti,2–3 days,Religious,Pilgrims and locals gather for bathing and prayers with fairs and music.
Pathibhara Devi Temple,Pathibhara Yatra Festival (real),Taplejung,1,Pathibhara temple,Aug–Sep,3 days,Pilgrimage / Cultural,"Pilgrimage to Pathibhara shrine, colourful processions and holy offerings."
Barahachhetra,Barahachhetra Mela (real),Sunsari,1,Baraha Kshetra / Koshi confluence,Makar Sankranti,5–7 days,Religious / Cultural,"Annual pilgrimage with bathing rituals, temple ceremonies, fairs, and cultural programmes."
Ilaka Bazaar & Village Homestays,Village Homestay & Agriculture Fair (proposed),"Ilaka Bazaar, Bhojpur",1,Homestay premises,Spring & Autumn,2–3 days,Cultural / Tourism,"Homestay experiences, farming demos, cooking classes and local music nights."
Gorja,Gorja Lakeside Picnic Carnival (proposed),"Gorja, Panchthar",1,Gorja lake shoreline,Monsoon & Post-Monsoon,2 days,Nature / Cultural,"Jatra, water sports, food stalls and nature walks around the lake."
Chhankhola Waterfall,Chhankhola Picnic & Clean-up Day (proposed),"Chhankhola waterfall, Ilam",1,Waterfall foot & picnic area,Monsoon season,1 day,Nature / Community,"Picnic, eco-cleanup drive and sunrise walk along the waterfall trails."
Mehele,Mehele Cultural Fair (proposed),"Mehele village, Solukhumbu",1,Village square,Autumn,1–2 days,Local / Cultural,"Local handicraft exhibitions, folk dances, and traditional games."
Okhre,Okhre Village Nature Walk & Homestay Festival (proposed),"Okhre, Ilam",1,Village hillside,Spring & Autumn,2 days,Eco / Cultural,"Guided nature walks, homecooked meals and village culture presentations."
Gairi Pangma,Gairi Pangma Heritage Festival (proposed),Sankhuwasabha,1,Village ground,Autumn (Sept–Oct),2 days,Cultural / Community,"Local Limbu and Rai cultural celebration featuring folk songs, traditional attire, and handicraft stalls."
Bhedetar,Bhedetar Tourism & Food Festival (real),Dhankuta,1,Bhedetar View Tower Area,Winter (Dec–Jan),3 days,Tourism / Cultural,"Annual tourism fair with local cuisines, music concerts, paragliding, and art shows."
Nesum,Nesum Cultural & Trade Fair (proposed),Taplejung,1,Village square,Autumn,2 days,Cultural / Trade,"Traditional music, local product display, and youth cultural competition."
Change Hiti,Change Hiti Water Heritage Day (proposed),Dhankuta,1,Change Hiti Temple Premises,Monsoon (Jul–Aug),1 day,Religious / Heritage,Traditional ritual dedicated to water deities with cultural performances.
Banjhogara,Banjhogara Community Festival (proposed),Dhankuta,1,Village ground,Spring,1 day,Cultural,"Community picnic, folk dances, and traditional food fair."
Dhankuta,Dhankuta Mahotsav (real),Dhankuta,1,Tribeni Park,Winter (Jan–Feb),5 days,Trade / Tourism,"Annual fair promoting local crafts, tourism, and cultural shows."
Panchami Danda,Panchami Danda Sunrise Trek Event (proposed),Dhankuta,1,Panchami Viewpoint,Spring / Autumn,1 day,Nature / Trekking,"Sunrise trek, photography contest, and local cultural show."
Yakthung Civilization,Yakthung Heritage Week (proposed),Taplejung,1,Limbu Heritage Center,Nov,3 days,Ethnic / Cultural,"Cultural exhibition showcasing Limbu traditions, music, and dances."
Santhakra,Santhakra Community Cultural Day (proposed),Taplejung,1,Village hall,Autumn,1 day,Cultural,"Local cultural performances, food stalls, and traditional games."
Gurase Pokhari,Gurase Rhododendron Festival (real),Tehrathum,1,Gurase Pokhari Area,Spring (Mar–Apr),3 days,Nature / Tourism,Celebration of rhododendron bloom with nature walks and photography contests.
Lingtep,Lingtep Heritage & Tourism Day (proposed),Taplejung,1,Village square,Autumn,1 day,Cultural / Tourism,"Homestay promotion, local dance, and music for trekkers and visitors."
Thukima,Thukima Cultural Fair (proposed),Taplejung,1,Village ground,Autumn,1 day,Cultural,"Folk dance, traditional food, and handicraft showcase."
Halesi Mahadev Temple,Halesi Mahadev Mela (real),Khotang,1,Halesi Mahadev Temple,March (Shivaratri),3 days,Religious,One of Nepal’s major religious gatherings with pilgrims from across the country.
Kipa Chyoling Gumba,Kipa Chyoling Monastery Festival (proposed),Bhojpur,1,Monastery grounds,Lhosar (Feb),2 days,Religious / Cultural,Buddhist prayer ceremony and Sherpa-Tamang cultural performances.
Nalbu,Nalbu Heritage Day (proposed),Sankhuwasabha,1,Village square,Autumn,1 day,Cultural,"Village folk dance, food stalls, and traditional games."
Hile Tiny Viewpoint,Hile Sunrise Festival (proposed),Dhankuta,1,Hile View Tower,Spring (Apr),1 day,Nature / Tourism,"Sunrise photography, tea tasting, and short hikes to nearby hills."
Tapethok,Tapethok Trekker Welcome Day (proposed),Taplejung,1,Village square,Autumn,1 day,Cultural / Tourism,Trekker orientation event with cultural dances and local food stalls.
Yamfudin,Yamfudin Cultural Festival (proposed),Taplejung,1,Village hall,Autumn,1 day,Cultural,"Limbu and Sherpa dances, cultural exhibitions, and homestay promotions."
Lelep,Lelep Community & Trekker Fair (proposed),Taplejung,1,Village center,Spring / Autumn,2 days,Cultural / Tourism,"Folk dances, traditional food, and meet-up for Kanchenjunga trekkers."
Kumbhakarna,Kumbhakarna Mountain Spirit Festival (proposed),Taplejung,1,Base Camp Region,Autumn,2 days,Nature / Religious,"Mountain blessing rituals, local songs, and eco-trekking awareness event."
Ekamba,Ekamba Rural Tourism Festival (proposed),Sunsari,1,Ekamba Ground,Winter (Dec–Jan),2 days,Cultural / Tourism,"Promotes village tourism with local food stalls, dances, and handicrafts."
Bhurkee,Bhurkee Agro & Handicraft Fair (proposed),Dhankuta,1,Bhurkee Bazaar,Spring,2 days,Agriculture / Trade,"Exhibition of agricultural products, tools, and crafts from the region."
Bahuni,Bahuni Cultural Gathering (proposed),Morang,1,Community Ground,Autumn,1 day,Cultural,"Cultural dances, folk music, and traditional attire show."
Keroun,Keroun Tea & Tourism Expo (proposed),Morang,1,Tea Garden Area,Spring,2 days,Tourism / Agro,"Tea tasting, tourism promotion, and local crafts exhibition."
Daulatpur,Daulatpur River Festival (proposed),Sunsari,1,Chatara Riverside,Monsoon,1 day,Nature / Cultural,"Boat rides, fishing competition, and river-cleaning awareness event."
Dalelee Bazaar,Dalelee Bazaar Trade Fair (proposed),Dhankuta,1,Bazaar Center,Winter,3 days,Trade / Tourism,Local entrepreneurs and farmers display regional goods and handicrafts.
Maharaaj Thaan,Maharaaj Thaan Mela (proposed),Sunsari,1,Maharaaj Thaan Temple,Spring,2 days,Religious / Cultural,"Pilgrims gather for prayers, traditional songs, and rituals."
Kanchenjunga Base Camp Viewpoint,Kanchenjunga Eco-Trek Festival (real/proposed),Taplejung,1,Base Camp Region,Autumn (Oct–Nov),3 days,Adventure / Tourism,Awareness event promoting eco-trekking and cultural tourism.
Dohamna Bazaar,Dohamna Market Fair (proposed),Bhojpur,1,Market Ground,Autumn,1 day,Trade / Local,"Trade event for farmers, artisans, and homestay hosts."
Hoklabari,Hoklabari Local Culture Day (proposed),Morang,1,School Ground,Autumn,1 day,Cultural,"Local cultural exhibition, music, and youth talent show."
Koshi Tappu Wetland (extension into Province 2),Koshi Bird & Wetland Festival (real),Sunsari / Saptari Border,2,Koshi Tappu Wildlife Reserve,Winter (Jan–Feb),3 days,Eco / Tourism,"Birdwatching, conservation talks, and eco-tourism promotion."
Jholunge Pul Chisang,Chisang Bridge Adventure Day (proposed),Sunsari,1,Jholunge Suspension Bridge,Spring,1 day,Adventure / Tourism,"Bridge walk, nature photography, and awareness about eco-adventure."
Limbu Villages,Limbu Heritage & Culture Festival (proposed),Panchthar / Taplejung,1,Limbu Heritage Center,Nov,3 days,Ethnic / Cultural,"Limbu dance, costumes, food tasting, and storytelling events."
Dipu Chowk (Shiva Mandir),Shivaratri Mela Dipu Chowk (real),Jhapa,1,Shiva Mandir Premises,March (Shivaratri),2 days,Religious,"Devotees gather for rituals, fairs, and cultural programs."
Borabandh,Borabandh Rural Expo (proposed),Jhapa,1,Borabandh Field,Autumn,2 days,Cultural / Trade,Agro tourism and homestay promotion through exhibitions.
Chulachuli,Chulachuli Tea & Nature Fair (proposed),Ilam,1,Tea Garden Area,Spring,2 days,Agro / Eco-Tourism,"Tea product stalls, rhododendron trail hike, and nature talks."
Mahamai,Mahamai Temple Mela (real),Ilam,1,"Mahamai Temple, Ilam Bazaar",Nov,2 days,Religious / Cultural,"Devotee gatherings, rituals, local market, and cultural performances."
Danabari,Danabari Agro Festival (proposed),Ilam,1,Tea Estate Area,Spring,2 days,Agriculture / Tourism,Tea and organic produce showcase with guided tours.
Laxmipura,Laxmipura Community Day (proposed),Morang,1,School Ground,Winter,1 day,Cultural,"Folk music, traditional games, and local art displays."
Maghe,Maghe Sankranti Festival (real),Ilam,1,Community Temple,Jan,2 days,Religious / Cultural,"Traditional bathing, fairs, and local cuisine to mark the Maghe Sankranti festival."
Bhawanitole,Bhawanitole Community Fair (proposed),Morang,1,Bhawanitole Ground,Autumn,1 day,Cultural,"Local fair with food stalls, folk dances, and children’s games."
Panchkanya,Panchkanya Temple Mela (real),Sunsari,1,Panchkanya Temple,April (Nepali New Year),2 days,Religious / Cultural,"Annual festival with rituals, music, and devotional songs."
Premejung,Premejung Limbu Cultural Day (proposed),Taplejung,1,Village Center,Autumn,1 day,Ethnic / Cultural,"Celebration of Limbu heritage with dance, attire, and rituals."
Shree Antu,Antu Sunrise Festival (real),Ilam,1,Antu Danda,Spring / Autumn,2 days,Nature / Tourism,Popular sunrise viewpoint festival with tea tasting and hiking.
Samalbung,Samalbung Eco-Tourism Event (proposed),Ilam,1,Samalbung Ridge,Spring,1 day,Eco / Cultural,Eco-friendly tourism awareness with forest walks and local food.
"Jhandi Danda, Rambhyang",Jhandi Danda Cultural Trek Day (proposed),Ilam,1,Rambhyang Ridge,Autumn,1 day,Trekking / Cultural,Short trekking event with cultural dance and homestay promotion.
